Key;ShortKey;Source;Row;Module;Field;Character;CN;EN;RU;ES;JP;KR;FR;DE;PT;TH;IN;VI
AvgCommunicate_66999_Content_2;abZQ;avg通讯器聊天表_AvgCommunicate_A_M.csv;1116;AvgCommunicate;Content;哈姆林;录音时朵尔教授还提到，校方制作出了一款新型的录音机，体型小巧，音质细腻，甚至可以在出任务时随身携带，有录音和播放的功能。;;;;;;;In der Aufzeichnung erwähnte Professorin Doll auch, dass die Schule einen neues Tonbandgerät entwickelt habe. Es sei klein, habe eine klare Tonqualität und könne sogar während Missionen mitgeführt werden. Es verfüge sowohl über Aufnahme- als auch über Wiedergabefunktionen.;;;;
AvgCommunicate_66999_Content_3;abZR;avg通讯器聊天表_AvgCommunicate_A_M.csv;1117;AvgCommunicate;Content;哈姆林;我看到后就想到了你，如果需要的话，我可以为你录制你想听的乐曲。;;;;;;;Als ich es sah, musste ich an Sie denken. Bei Bedarf kann ich eine Aufzeichnung der Stücke erstellen, die Sie gerne hören.;;;;
AvgCommunicate_66999_Content_4;abZS;avg通讯器聊天表_AvgCommunicate_A_M.csv;1118;AvgCommunicate;Content;哈姆林;这样即使有时我不在你的身边，也不会担心没有音乐来抚慰你的灵魂。;;;;;;;Auf diese Weise müssen Sie sich auch dann keine Sorgen machen, dass Ihnen die Musik fehlt, die Ihre Seele beruhigt, wenn ich nicht an Ihrer Seite bin.;;;;
AvgCommunicate_66999_Option_5;acah;avg通讯器聊天表_AvgCommunicate_A_M.csv;1119;AvgCommunicate;Option;玩家;哈姆林……我好感动！;;;;;;;Hameln... Ich bin zutiefst bewegt!;;;;
AvgCommunicate_66999_Content_5;abZT;avg通讯器聊天表_AvgCommunicate_A_M.csv;1119;AvgCommunicate;Content;玩家;哈姆林……我好感动！;;;;;;;Hameln... Ich bin zutiefst bewegt!;;;;
AvgCommunicate_66999_Content_6;abZU;avg通讯器聊天表_AvgCommunicate_A_M.csv;1120;AvgCommunicate;Content;哈姆林;这都是我应尽的职责，那么，有什么想听的吗？;;;;;;;Das gehört einfach zu meinen Aufgaben. Nun, gibt es etwas, das Sie hören möchten?;;;;
AvgCommunicate_66999_Option_7;acaj;avg通讯器聊天表_AvgCommunicate_A_M.csv;1121;AvgCommunicate;Option;玩家;有助睡眠的音乐;;;;;;;Schlaffördernde Musik;;;;
AvgCommunicate_66999_Content_7;abZV;avg通讯器聊天表_AvgCommunicate_A_M.csv;1121;AvgCommunicate;Content;玩家;说起来，每次听你吹奏摇篮曲的时候，我都会睡得很好。;;;;;;;Apropos, ich schlafe immer gut, wenn du das Wiegenlied spielst.;;;;
AvgCommunicate_66999_Content_8;abZW;avg通讯器聊天表_AvgCommunicate_A_M.csv;1122;AvgCommunicate;Content;玩家;这首曲子有什么特别的吗？;;;;;;;Was macht es so besonders?;;;;
AvgCommunicate_66999_Content_9;abZX;avg通讯器聊天表_AvgCommunicate_A_M.csv;1123;AvgCommunicate;Content;哈姆林;要这一首吗？我明白了。;;;;;;;Möchten Sie dieses hier hören? Ich verstehe.;;;;
AvgCommunicate_66999_Content_10;abZL;avg通讯器聊天表_AvgCommunicate_A_M.csv;1124;AvgCommunicate;Content;哈姆林;如果非要说特别之处，大概是充满了我守护你的心情吧。;;;;;;;Wenn ich benennen muss, was daran besonders ist, dann wohl, dass es von meinem Bedürfnis, Sie zu beschützen, überquillt.;;;;
AvgCommunicate_66999_Option_11;acaa;avg通讯器聊天表_AvgCommunicate_A_M.csv;1125;AvgCommunicate;Option;玩家;帮助起床的音乐;;;;;;;Musik, die beim Aufwachen hilft;;;;
AvgCommunicate_66999_Content_11;abZM;avg通讯器聊天表_AvgCommunicate_A_M.csv;1125;AvgCommunicate;Content;玩家;其实我一直都有点起床困难，如果有那种令人振奋的音乐，起床应该会容易一些吧！;;;;;;;Um ehrlich zu sein, fiel es mir schon immer ziemlich schwer morgens aufzustehen. Vielleicht würde mir belebende Musik dabei helfen!;;;;
AvgCommunicate_66999_Content_12;abZN;avg通讯器聊天表_AvgCommunicate_A_M.csv;1126;AvgCommunicate;Content;哈姆林;令人振奋吗？我明白了。;;;;;;;Belebend? Ich verstehe.;;;;
AvgCommunicate_66999_Content_13;abZO;avg通讯器聊天表_AvgCommunicate_A_M.csv;1127;AvgCommunicate;Content;哈姆林;虽然我觉得充足良好的睡眠才是更重要的，但毕竟你肩负了如此多的责任，忙碌也是在所难免。;;;;;;;Obwohl ich denke, dass ausreichender und guter Schlaf wichtiger ist, ist es angesichts der vielen Aufgaben, die Sie zu bewältigen haben, unvermeidlich, dass Sie viel zu tun haben.;;;;
AvgCommunicate_66999_Content_14;abZP;avg通讯器聊天表_AvgCommunicate_A_M.csv;1128;AvgCommunicate;Content;哈姆林;希望这首进行曲能够带给你力量。;;;;;;;Hoffentlich gibt Ihnen dieser Marsch Kraft.;;;;
AvgCommunicate_67000_Content_1;acam;avg通讯器聊天表_AvgCommunicate_A_M.csv;1771;AvgCommunicate;Content;哈姆林;%player%%sirormadam%，最近我又创作了一首新的曲子，想请你在闲暇时间来点评一二。;;;;;;;{Male=Herr,Female=Frau} %player%, ich habe kürzlich ein neues Stück komponiert und würde mich freuen, wenn Sie es sich anhören und beurteilen könnten, wenn Sie Zeit haben.;;;;
AvgCommunicate_67000_Option_2;acaC;avg通讯器聊天表_AvgCommunicate_A_M.csv;1772;AvgCommunicate;Option;玩家;你真是太客气了。;;;;;;;Du bist wirklich zu höflich.;;;;
AvgCommunicate_67000_Content_2;acaq;avg通讯器聊天表_AvgCommunicate_A_M.csv;1772;AvgCommunicate;Content;玩家;你真是太客气了，哈姆林，我这种半吊子哪有资格来点评你的作品啊。;;;;;;;Du bist zu nett, Hameln. Als unerfahrener Amateur bin ich kaum qualifiziert, deine Arbeit zu kritisieren.;;;;
AvgCommunicate_67000_Content_3;acar;avg通讯器聊天表_AvgCommunicate_A_M.csv;1773;AvgCommunicate;Content;哈姆林;不，不必妄自菲薄，你的建议是我创作最大的动力。;;;;;;;"Nein, machen Sie sich nicht klein; Ihre Vorschläge sind meine größte Motivationsquelle.";;;;
AvgCommunicate_67000_Option_4;acaE;avg通讯器聊天表_AvgCommunicate_A_M.csv;1774;AvgCommunicate;Option;玩家;有这么夸张吗？;;;;;;;Echt jetzt?;;;;
AvgCommunicate_67000_Content_4;acas;avg通讯器聊天表_AvgCommunicate_A_M.csv;1774;AvgCommunicate;Content;玩家;有这么夸张吗？不过，虽然很不好意思说，其实我每次听你新作的曲子都会听睡着……;;;;;;;Echt jetzt? Allerdings muss ich peinlicherweise gestehen, dass ich beim Anhören deiner neuen Kompositionen immer einschlafe...;;;;
AvgCommunicate_67000_Content_5;acat;avg通讯器聊天表_AvgCommunicate_A_M.csv;1775;AvgCommunicate;Content;玩家;你的曲子是很优美，演奏也无可挑剔，就是每次我都像着了魔一样很快就睡晕过去了，可能我真的没有什么音乐天赋吧。;;;;;;;Deine Musik ist bezaubernd schön und makellos gespielt, doch sie übt eine beruhigende Wirkung auf mich aus, sodass ich sofort einschlafe. Vielleicht fehlt mir wirklich das musikalische Gehör.;;;;
AvgCommunicate_67000_Content_6;acau;avg通讯器聊天表_AvgCommunicate_A_M.csv;1776;AvgCommunicate;Content;哈姆林;不，这正是我想要的。;;;;;;;Nein, das ist genau das, was ich will.;;;;
AvgCommunicate_67000_Content_7;acav;avg通讯器聊天表_AvgCommunicate_A_M.csv;1777;AvgCommunicate;Content;哈姆林;能为你带来安眠，正是我的使命与职责。;;;;;;;Ihnen einen ruhigen Schlaf zu ermöglichen, ist meine Mission und Pflicht.;;;;
AvgCommunicate_67000_Content_8;acaw;avg通讯器聊天表_AvgCommunicate_A_M.csv;1778;AvgCommunicate;Content;哈姆林;不如说，请你具体描述不同曲子为你带来的感受，以及听完后的睡眠质量，入睡的速度和睡眠时长等等。;;;;;;;Bitte beschreiben Sie stattdessen konkret, welche Gefühle Ihnen die verschiedenen Musikstücke vermitteln, sowie die Schlafqualität nach dem Hören, die Einschlafgeschwindigkeit und die Schlafdauer usw..;;;;
AvgCommunicate_67000_Option_9;acaJ;avg通讯器聊天表_AvgCommunicate_A_M.csv;1779;AvgCommunicate;Option;玩家;啊？;;;;;;;Hä?;;;;
AvgCommunicate_67000_Content_9;acax;avg通讯器聊天表_AvgCommunicate_A_M.csv;1779;AvgCommunicate;Content;玩家;啊？;;;;;;;Hä?;;;;
AvgCommunicate_67000_Content_10;acan;avg通讯器聊天表_AvgCommunicate_A_M.csv;1780;AvgCommunicate;Content;哈姆林;啊，这样的要求确实有些苛刻，是我考虑不周。;;;;;;;Ach, diese Anforderungen sind in der Tat recht streng. Entschuldigen Sie bitte meine Rücksichtslosigkeit.;;;;
AvgCommunicate_67000_Content_11;acao;avg通讯器聊天表_AvgCommunicate_A_M.csv;1781;AvgCommunicate;Content;哈姆林;不如下次就让我在你的床前演奏，让我来细致记录你的睡眠吧。;;;;;;;Wie wäre es, wenn ich das nächste Mal an Ihrem Bett für Sie spiele und dabei sorgfältig Ihren Schlaf aufzeichne?;;;;
AvgCommunicate_67000_Content_12;acap;avg通讯器聊天表_AvgCommunicate_A_M.csv;1782;AvgCommunicate;Content;哈姆林;我希望你的每一次入睡，都有我的守候。;;;;;;;Ich wünsche mir, dass ich jedes Ihrer Einschlafen behüten darf.;;;;
AvgCommunicate_96408_Content_1;bAmB;avg通讯器聊天表_AvgCommunicate_A_M.csv;2910;AvgCommunicate;Content;杜勒赛因;亲，承包尸体回收，价格实惠，欢迎联系。生前较完整者优先，支持异地邮寄哦~;;;;;;;Hallöchen! Spezialisiert auf Leichenrecycling – günstige Preise, DM für Anfragen! Gut erhaltene Exemplare haben Vorrang. Versand innerhalb des Landes möglich!;;;;
AvgCommunicate_96408_Option_2;bAmP;avg通讯器聊天表_AvgCommunicate_A_M.csv;2911;AvgCommunicate;Option;玩家;？！;;;;;;;?!;;;;
AvgCommunicate_96408_Content_2;bAmG;avg通讯器聊天表_AvgCommunicate_A_M.csv;2911;AvgCommunicate;Content;玩家;？！;;;;;;;?!;;;;
AvgCommunicate_96408_Option_3;bAmQ;avg通讯器聊天表_AvgCommunicate_A_M.csv;2912;AvgCommunicate;Option;玩家;杜勒赛因？;;;;;;;Doresain?;;;;
AvgCommunicate_96408_Content_3;bAmH;avg通讯器聊天表_AvgCommunicate_A_M.csv;2912;AvgCommunicate;Content;玩家;杜……杜勒赛因？啊？？？;;;;;;;Doresain... Doresain? Hä...???;;;;
AvgCommunicate_96408_Option_4;bAmR;avg通讯器聊天表_AvgCommunicate_A_M.csv;2913;AvgCommunicate;Option;玩家;被夺舍了？;;;;;;;Äh... Wurde dein Account gehackt?;;;;
AvgCommunicate_96408_Content_4;bAmI;avg通讯器聊天表_AvgCommunicate_A_M.csv;2913;AvgCommunicate;Content;玩家;这是被夺舍了吗？？？;;;;;;;Wurdest du gehackt??;;;;
AvgCommunicate_96408_Content_5;bAmJ;avg通讯器聊天表_AvgCommunicate_A_M.csv;2914;AvgCommunicate;Content;杜勒赛因;原来是守密人阁下，我在尝试用通讯器招揽客户。;;;;;;;Ah, Sie sind es {Male=Herr, Female=Frau} Keeper. Ich habe versucht, mit dem Kommunikator Kunden anzulocken.;;;;
AvgCommunicate_96408_Option_6;bAmS;avg通讯器聊天表_AvgCommunicate_A_M.csv;2915;AvgCommunicate;Option;玩家;客户……;;;;;;;Kunden...;;;;
AvgCommunicate_96408_Content_6;bAmK;avg通讯器聊天表_AvgCommunicate_A_M.csv;2915;AvgCommunicate;Content;玩家;第一次用就会群发广告了吗……这是从哪学来的……？;;;;;;;Hast du wirklich schon bei deiner ersten Nutzung des Kommunikators angefangen, Spam zu versenden...? Wer hat dir das beigebracht...?;;;;
AvgCommunicate_96408_Content_7;bAmL;avg通讯器聊天表_AvgCommunicate_A_M.csv;2916;AvgCommunicate;Content;杜勒赛因;那位叫詹金的孩子，对此处人心的洞察力令人印象深刻。;;;;;;;Das Kind namens Jenkin hat ein beeindruckendes Menschenverständnis;;;;
AvgCommunicate_96408_Option_8;bAmT;avg通讯器聊天表_AvgCommunicate_A_M.csv;2917;AvgCommunicate;Option;玩家;詹金！;;;;;;;Jenkin!;;;;
AvgCommunicate_96408_Content_8;bAmM;avg通讯器聊天表_AvgCommunicate_A_M.csv;2917;AvgCommunicate;Content;玩家;……果然是她。;;;;;;;...Wie erwartet von ihr.;;;;
AvgCommunicate_96408_Content_9;bAmN;avg通讯器聊天表_AvgCommunicate_A_M.csv;2918;AvgCommunicate;Content;杜勒赛因;相比攀登美食之巅的辛苦，领悟这等科技算不上困难。;;;;;;;Und im Vergleich zum mühsamen Aufstieg zum kulinarischen Meister, ist es kaum schwierig, diese Technologie zu beherrschen.;;;;
AvgCommunicate_96408_Content_10;bAmC;avg通讯器聊天表_AvgCommunicate_A_M.csv;2919;AvgCommunicate;Content;杜勒赛因;啊……有客人联系了！我果然没有看错她。;;;;;;;Ah... Ein Kunde! Wie erwartet, kann ich mich auf diese Dame verlassen.;;;;
AvgCommunicate_96408_Content_11;bAmD;avg通讯器聊天表_AvgCommunicate_A_M.csv;2920;AvgCommunicate;Content;杜勒赛因;我的厨具已经等候多时了。回聊。;;;;;;;Meine Kochutensilien sind bereit. Wir werden uns in Kürze wieder unterhalten.;;;;
AvgCommunicate_96408_Option_12;bAmO;avg通讯器聊天表_AvgCommunicate_A_M.csv;2921;AvgCommunicate;Option;玩家;……;;;;;;;...;;;;
AvgCommunicate_96408_Content_12;bAmE;avg通讯器聊天表_AvgCommunicate_A_M.csv;2921;AvgCommunicate;Content;玩家;……;;;;;;;...;;;;
AvgCommunicate_96408_Content_13;bAmF;avg通讯器聊天表_AvgCommunicate_A_M.csv;2922;AvgCommunicate;Content;玩家;我还是假装不知道你准备去做什么吧。;;;;;;;Ich werde einfach so tun, als wüsste ich nicht, was du als Nächstes vorhast.;;;;
AvgCommunicate_96409_Content_1;bAmU;avg通讯器聊天表_AvgCommunicate_A_M.csv;2924;AvgCommunicate;Content;杜勒赛因;守密人阁下，我是否有这个荣幸，邀请你共进晚餐？;;;;;;;Lieber Keeper, darf ich mir die Ehre erweisen, Sie heute Abend zum Abendessen einzuladen?;;;;
AvgCommunicate_96409_Content_2;bAnf;avg通讯器聊天表_AvgCommunicate_A_M.csv;2925;AvgCommunicate;Content;杜勒赛因;我试做了一道蒜香肩胛骨配脊髓泥沙拉，软烂入味，还带一点童年创伤的余温。;;;;;;;Ich habe versucht, ein Gericht aus Schulterknochen mit Knoblauchgeschmack und einem Salat aus Rückenmarkbrei zuzubereiten. Es war zart, aromatisch und vermittelte ein subtiles Gefühl von anhaltender Wärme aus Kindheitstraumata.;;;;
AvgCommunicate_96409_Option_3;bAnq;avg通讯器聊天表_AvgCommunicate_A_M.csv;2926;AvgCommunicate;Option;玩家;这能吃吗……;;;;;;;Ist das essbar...?;;;;
AvgCommunicate_96409_Content_3;bAng;avg通讯器聊天表_AvgCommunicate_A_M.csv;2926;AvgCommunicate;Content;玩家;呃……听起来像是会留下心理阴影的那种味道。;;;;;;;Hmm… das klingt nach so einem Geruch, der bleibende psychologische Narben hinterlässt.;;;;
AvgCommunicate_96409_Content_4;bAnh;avg通讯器聊天表_AvgCommunicate_A_M.csv;2927;AvgCommunicate;Content;杜勒赛因;那自然不会。主料生前是一位理疗师，气质温和，几乎没有仇恨残余。;;;;;;;Natürlich nicht. Der Hauptgang war zu Lebzeiten eine Physiotherapeutin, von sanftmütigem Wesen und nahezu frei von verbliebenem Hass.;;;;
AvgCommunicate_96409_Content_5;bAni;avg通讯器聊天表_AvgCommunicate_A_M.csv;2928;AvgCommunicate;Content;杜勒赛因;过去的痛苦没有为灵魂带来伤痕，反而让它因宽恕变得格外香甜……;;;;;;;Der Schmerz der Vergangenheit hat keine Narben auf der Seele hinterlassen, sondern sie durch Vergebung besonders süß gemacht...;;;;
AvgCommunicate_96409_Content_6;bAnj;avg通讯器聊天表_AvgCommunicate_A_M.csv;2929;AvgCommunicate;Content;杜勒赛因;……因此肉质温润柔软，是顶级的美味。;;;;;;;...daher ist das Fleisch zart und weich, was es zu einer Delikatesse der Spitzenklasse macht.;;;;
AvgCommunicate_96409_Option_7;bAnr;avg通讯器聊天表_AvgCommunicate_A_M.csv;2930;AvgCommunicate;Option;玩家;……;;;;;;;...;;;;
AvgCommunicate_96409_Content_7;bAnk;avg通讯器聊天表_AvgCommunicate_A_M.csv;2930;AvgCommunicate;Content;玩家;……;;;;;;;...;;;;
AvgCommunicate_96409_Option_8;bAns;avg通讯器聊天表_AvgCommunicate_A_M.csv;2931;AvgCommunicate;Option;玩家;顶级？;;;;;;;Spitzenklasse?;;;;
AvgCommunicate_96409_Content_8;bAnl;avg通讯器聊天表_AvgCommunicate_A_M.csv;2931;AvgCommunicate;Content;玩家;这……确实很特别。;;;;;;;Das... ist in der Tat etwas ganz Besonderes.;;;;
AvgCommunicate_96409_Content_9;bAnm;avg通讯器聊天表_AvgCommunicate_A_M.csv;2932;AvgCommunicate;Content;杜勒赛因;更重要的是，她在今日清晨于梦中离世，尸体相当新鲜。;;;;;;;Noch wichtiger ist, dass sie heute Morgen in ihrem Traum verstorben und ihr Körper bemerkenswert gut erhalten ist.;;;;
AvgCommunicate_96409_Content_10;bAmV;avg通讯器聊天表_AvgCommunicate_A_M.csv;2933;AvgCommunicate;Content;杜勒赛因;我为了这餐用上了新制的酱料。;;;;;;;Für dieses Gericht habe ich meine frisch zubereitete Sauce verwendet.;;;;
AvgCommunicate_96409_Content_11;bAmW;avg通讯器聊天表_AvgCommunicate_A_M.csv;2934;AvgCommunicate;Content;杜勒赛因;要来尝尝吗？守密人阁下。;;;;;;;Möchten Sie es probieren, {Male=Herr, Female=Frau} Keeper?;;;;
AvgCommunicate_96409_Option_12;bAnn;avg通讯器聊天表_AvgCommunicate_A_M.csv;2935;AvgCommunicate;Option;玩家;我补药哇！;;;;;;;NEIN DANKE!;;;;
AvgCommunicate_96409_Content_12;bAmX;avg通讯器聊天表_AvgCommunicate_A_M.csv;2935;AvgCommunicate;Content;玩家;感谢厚爱……;;;;;;;Vielen Dank für deine Freundlichkeit...;;;;
AvgCommunicate_96409_Option_13;bAno;avg通讯器聊天表_AvgCommunicate_A_M.csv;2936;AvgCommunicate;Option;玩家;婉拒了哈。;;;;;;;Äh, ich verzichte.;;;;
AvgCommunicate_96409_Content_13;bAmY;avg通讯器聊天表_AvgCommunicate_A_M.csv;2936;AvgCommunicate;Content;玩家;感谢厚爱……;;;;;;;Vielen Dank für deine Freundlichkeit...;;;;
AvgCommunicate_96409_Content_14;bAmZ;avg通讯器聊天表_AvgCommunicate_A_M.csv;2937;AvgCommunicate;Content;玩家;但我昨夜吃坏了肚子，恐怕是无福消受。;;;;;;;Aber ich hatte gestern Abend Magenbeschwerden, daher fürchte ich, dass ich es nicht genießen kann.;;;;
AvgCommunicate_96409_Content_15;bAna;avg通讯器聊天表_AvgCommunicate_A_M.csv;2938;AvgCommunicate;Content;杜勒赛因;这样吗？真可惜。;;;;;;;Ist das so? Wie schade.;;;;
AvgCommunicate_96409_Content_16;bAnb;avg通讯器聊天表_AvgCommunicate_A_M.csv;2939;AvgCommunicate;Content;杜勒赛因;这是第几次吃坏肚子了？;;;;;;;Wie oft haben Sie schon Bauchschmerzen bekommen, weil Sie etwas Schlechtes gegessen haben?;;;;
AvgCommunicate_96409_Content_17;bAnc;avg通讯器聊天表_AvgCommunicate_A_M.csv;2940;AvgCommunicate;Content;玩家;呃……;;;;;;;Äh...;;;;
AvgCommunicate_96409_Content_18;bAnd;avg通讯器聊天表_AvgCommunicate_A_M.csv;2941;AvgCommunicate;Content;杜勒赛因;未曾尝过新鲜尸体的美味，实属遗憾。希望阁下能认真考虑我的邀请。;;;;;;;Es ist wahrlich schade, dass Ihnen der Genuss frischer Leichen bislang verwehrt blieb. Ich hoffe, Sie ziehen meine Einladung ernsthaft in Betracht.;;;;
AvgCommunicate_96409_Option_19;bAnp;avg通讯器聊天表_AvgCommunicate_A_M.csv;2942;AvgCommunicate;Option;玩家;下次一定。;;;;;;;Das nächste Mal auf jeden Fall.;;;;
AvgCommunicate_96409_Content_19;bAne;avg通讯器聊天表_AvgCommunicate_A_M.csv;2942;AvgCommunicate;Content;玩家;下次一定，下次一定。;;;;;;;Das nächste Mal, sicherlich das nächste Mal.;;;;
AvgCommunicate_96410_Content_1;bAnt;avg通讯器聊天表_AvgCommunicate_A_M.csv;2944;AvgCommunicate;Content;杜勒赛因;守密人阁下。;;;;;;;{Male=Herr, Female=Frau} Keeper.;;;;
AvgCommunicate_96410_Content_2;bAnz;avg通讯器聊天表_AvgCommunicate_A_M.csv;2945;AvgCommunicate;Content;杜勒赛因;祭灵节将至，我决定亲自下厨犒劳臣民。;;;;;;;Das Seelenfest rückt näher, und ich habe beschlossen, persönlich ein Mahl zuzubereiten, um meine Untertanen zu belohnen.;;;;
AvgCommunicate_96410_Content_3;bAnA;avg通讯器聊天表_AvgCommunicate_A_M.csv;2946;AvgCommunicate;Content;杜勒赛因;为了确定一同进食的名额，我想要组织一场抽选大会。但是……;;;;;;;Um die Plätze für das gemeinsame Essen zu bestimmen, möchte ich eine Verlosung veranstalten. Aber...;;;;
AvgCommunicate_96410_Option_4;bAnJ;avg通讯器聊天表_AvgCommunicate_A_M.csv;2947;AvgCommunicate;Option;玩家;原来不是来邀请我用餐的，太好了。;;;;;;;Es ist also keine Einladung, ihn zu einem Essen zu begleiten. Prima.;;;;
AvgCommunicate_96410_Content_4;bAnB;avg通讯器聊天表_AvgCommunicate_A_M.csv;2947;AvgCommunicate;Content;玩家;出什么问题了？;;;;;;;Was ist los?;;;;
AvgCommunicate_96410_Option_5;bAnK;avg通讯器聊天表_AvgCommunicate_A_M.csv;2948;AvgCommunicate;Option;玩家;看样子他需要我的帮助。;;;;;;;Sieht so aus, als könnte er meine Hilfe gebrauchen.;;;;
AvgCommunicate_96410_Content_5;bAnC;avg通讯器聊天表_AvgCommunicate_A_M.csv;2948;AvgCommunicate;Content;玩家;需要我帮忙吗？;;;;;;;Brauchst du meine Hilfe?;;;;
AvgCommunicate_96410_Content_6;bAnD;avg通讯器聊天表_AvgCommunicate_A_M.csv;2949;AvgCommunicate;Content;杜勒赛因;场面过于火爆，结果有部分臣民趁乱抢占了绝大部分名额。;;;;;;;Die Situation wurde zu chaotisch, und infolgedessen nutzten einige Bürger die Unordnung aus, um sich die meisten verfügbaren Plätze zu sichern.;;;;
AvgCommunicate_96410_Content_7;bAnE;avg通讯器聊天表_AvgCommunicate_A_M.csv;2950;AvgCommunicate;Content;杜勒赛因;名额在集市上被哄炒出高价……;;;;;;;Die Plätze wurden auf dem Schwarzmarkt zu exorbitanten Preisen weiterverkauft...;;;;
AvgCommunicate_96410_Content_8;bAnF;avg通讯器聊天表_AvgCommunicate_A_M.csv;2951;AvgCommunicate;Content;杜勒赛因;我当然理解臣民们对我的爱戴。但是进食本该是艺术的享受，恩赏不应成为牟利的手段。;;;;;;;Natürlich bin ich von der Hingabe meiner Untertanen bewegt. Aber Essen sollte ein künstlerischer Genuss bleiben – Belohnungen sollten nicht als Mittel zur Bereicherung missbraucht werden...;;;;
AvgCommunicate_96410_Option_9;bAnL;avg通讯器聊天表_AvgCommunicate_A_M.csv;2952;AvgCommunicate;Option;玩家;原来如此。;;;;;;;Ach so.;;;;
AvgCommunicate_96410_Content_9;bAnG;avg通讯器聊天表_AvgCommunicate_A_M.csv;2952;AvgCommunicate;Content;玩家;所以你希望我做什么？;;;;;;;Also, was soll ich denn tun?;;;;
AvgCommunicate_96410_Content_10;bAnu;avg通讯器聊天表_AvgCommunicate_A_M.csv;2953;AvgCommunicate;Content;杜勒赛因;可以劳烦阁下抽空去集市探知情况吗？我的身份并不方便。;;;;;;;{Male=Herr, Female=Frau} Keeper, könnte ich Sie bitten, für mich den Markt zu erkunden? Aufgrund meiner derzeitigen Lage ist es für mich ziemlich... ungünstig, selbst dorthin zu gehen.;;;;
