CHARACTER,CHARACTER,CHINESE,ENGLISH,RUSSIAN,SPANISH,JAPANESE,KOREAN,FRENCH,GERMAN,PORTUGUESE,THAI,INDONESIAN,VIETNAMESE
尤乌哈希,Uvhash,尖啸,Shriek,,,,,,Aufschrei,,,,
尤乌哈希,Uvhash,血的悲歌,Dirge of Blood,,,,,,Klagelied des Blutes,,,,
尤乌哈希,Uvhash,沸血,Boiling Blood,,,,,,Kochendes Blut,,,,
希洛,Helot,绝境求生,Surviving Impasse,,,,,,Verzweifeltes Überleben,,,,
希洛,Helot,恨意翻涌,Surging Hatred,,,,,,Wallender Hass,,,,
希洛,Helot,宣战,War Declaration,,,,,,Kriegserklärung,,,,
希洛,Helot,恨怨,Hatred and Resentment,,,,,,Hass und Groll,,,,
血链·希洛,Helot: Catena,血海深仇,Blood Feud,,,,,,Blutrache,,,,
血链·希洛,Helot: Catena,链锤重创,Hammerstrike,,,,,,Kettenhammerschlag,,,,
血链·希洛,Helot: Catena,不定之链,Chain of Uncertainty,,,,,,Unsichere Kette,,,,
血链·希洛,Helot: Catena,旋动链条,Spinning Chains,,,,,,Rotierende Ketten,,,,
泰旖丝,Thais,丰穰之仪,Ritual of Abundance,,,,,,Ritual des Überflusses,,,,
泰旖丝,Thais,圣血指引,Guidance of Holy Blood,,,,,,Führung durch das Heilige Blut,,,,
泰旖丝,Thais,连绵的本能,Instinct of Continuity,,,,,,Kontinuierlicher Instinkt,,,,
泰旖丝,Thais,伟大的牺牲,Great Sacrifice,,,,,,Großes Opfer,,,,
萨尔瓦多,Salvador,造主的庇佑,Creator's Blessing,,,,,,Segen des Schöpfers,,,,
萨尔瓦多,Salvador,「惩恶」,"""Devotion""",,,,,,"""Hingabe""",,,,
萨尔瓦多,Salvador,神圣骨血,Sacred Bone Flesh,,,,,,Heiliges Knochenmark,,,,
萨尔瓦多,Salvador,「审判」,"""Judgment""",,,,,,"""Urteil""",,,,
索蕾尔,Sorel,权欲轮舞,Carousel of Ambition,,,,,,Karussel der Ambitionen,,,,
索蕾尔,Sorel,踏血而来,Arrival Through Blood,,,,,,Ankunft durch Blut,,,,
索蕾尔,SOrel,腐烂瑰香,Scent of Rotten Rose,,,,,,Duft der faulen Rose,,,,
索蕾尔,Sorel,隐秘的荆棘,Hidden Thorns,,,,,,Versteckte Dornen,,,,
阿格里帕,Agrippa,苍白的庇佑,Pale Blessing,,,,,,Blasser Segen,,,,
阿格里帕,Agrippa,迷宫陷阱,Maze Trap,,,,,,Labyrinthfalle,,,,
阿格里帕,Agrippa,蛛丝缠绕,Entwined Silk,,,,,,Spinnenseide-Verwicklung,,,,
阿格里帕,Agrippa,缚网绞杀,Web Strangulation,,,,,,Strangulation durch Netzgewebe,,,,
艾继丝,Aigis,万古之眸,Eye of Eternity,,,,,,Auge der Ewigkeit,,,,
艾继丝,Aigis,小小守护者,Little Guardian,,,,,,Kleiner Beschützer,,,,
艾继丝,Aigis,硬化石肤,Hardened Stone Skin,,,,,,Verhärtete Steinhaut,,,,
艾继丝,Aigis,虚弱凝视,Weakness Gaze,,,,,,Schwächeblick,,,,
菲茵特,Faint,星之摇篮,Cradle of Stars,,,,,,Wiege der Sterne,,,,
菲茵特,Faint,异常引力,Anomalous Gravity,,,,,,Anomale Schwerkraft,,,,
菲茵特,Faint,猛烈生长,Vigorous Growth,,,,,,Kraftvolles Wachstum,,,,
菲茵特,Faint,星彩拟态,Starborn Mimic,,,,,,Sternengeborener Nachahmer,,,,
希莱斯特,Celeste,不死的极乐鸟,Undying Bird of Paradise,,,,,,Unsterblicher Paradiesvogel,,,,
希莱斯特,Celeste,彼岸信标,Farshore Beacon,,,,,,Fernküstenleuchtfeuer,,,,
希莱斯特,Celeste,理想乡的祝福,Blessing of Utopia,,,,,,Segen der Utopie,,,,
希莱斯特,Celeste,纯白涟漪,Pure White Ripples,,,,,,Reinweiße Wellen,,,,
凯刻斯,Caecus,承自异端之血,Bloodline of Heresy,,,,,,Blutlinie der Ketzerei,,,,
凯刻斯,Caecus,渊血迸发,Blood Surge,,,,,,Blutschwall,,,,
凯刻斯,Caecus,逆鳞反制,Scale Counter,,,,,,Schuppenkonter,,,,
凯刻斯,Caecus,鳞刺打击,Scaled Strike,,,,,,Schuppenschlag,,,,
奥瑞塔,Aurita,喧嚣海洋,Clamorous Ocean,,,,,,Tosender Ozean,,,,
奥瑞塔,Aurita,海月赐苦,Jellyfish's Bitter Gift,,,,,,Bitteres Geschenk der Qualle,,,,
奥瑞塔,Aurita,双向触刺,Dual Piercer,,,,,,Doppelpiercer,,,,
奥瑞塔,Aurita,腺体重构,Gland Reconstruction,,,,,,Drüsenrekonstruktion,,,,
法洛思,Faros,遗失的久远之城,Lost City of Lemuria,,,,,,Verlorene Stadt Lemuria,,,,
法洛思,Faros,暗流微光,Undercurrent's Glimmer,,,,,,Unterstromschimmer,,,,
法洛思,Faros,逐火飞虫,Firefly,,,,,,Glühwürmchen,,,,
法洛思,Faros,湮塞宝藏,Buried Treasure,,,,,,Vergrabener Schatz,,,,
珊,Sanga,失落的艺术,The Lost Art,,,,,,Die verlorene Kunst,,,,
珊,Sanga,珊瑚螺旋,Coral Spiral,,,,,,Korallenspirale,,,,
珊,Sanga,艺术狂热,Artistic Frenzy,,,,,,Künstlerischer Rausch,,,,
珊,Sanga,无尽的雕琢,Endless Refinement,,,,,,Endlose Verfeinerung,,,,
弥利亚姆,Miryam,向深渊祝祷,Pray to the Abyss,,,,,,Bete zum Abgrund,,,,
弥利亚姆,Miryam,深海之咒,Abyssal Curse,,,,,,Fluch der Tiefsee,,,,
弥利亚姆,Miryam,泡影,Transient Illusion,,,,,,Vorübergehende Illusion,,,,
弥利亚姆,Miryam,湮灭预言,Prophecy of Oblivion,,,,,,Prophezeiung der Vergessenheit,,,,
墨菲,Murphy,虚妄继承者,Delusion's Heir,,,,,,Erbe der Täuschung,,,,
墨菲,Murphy,受赐者的权柄,Authority of the Chosen,,,,,,Authorität des Auserwählten,,,,
墨菲,Murphy,螺湮的礼物,The Gift of Lemuria,,,,,,Das Geschenk Lemurias,,,,
墨菲,Murphy,不屈的宣告,Defiant Proclamation,,,,,,Trotzige Verkündung,,,,
戈利亚,Goliath,海渊之力,Abyssal Depths' Power,,,,,,Macht des Abgrunds,,,,
戈利亚,Goliath,狂战突袭,Berserk Assault,,,,,,Berserker-Angriff,,,,
戈利亚,Goliath,非利士式闪击,Philistine Blitz,,,,,,Philister-Blitz,,,,
戈利亚,Goliath,巨刃重杀,Colossus Blade Execution,,,,,,Kolossusklingen-Hinrichtung,,,,
图鲁,Tulu,星辰正位之刻,When the Stars Are Right,,,,,,Wenn die Sterne richtig stehen,,,,
图鲁,Tulu,螺湮守护,Spiral Guardian,,,,,,Spiralwächter,,,,
图鲁,Tulu,万古震慑,Eternal Reverberation,,,,,,Ewiger Nachhall,,,,
图鲁,Tulu,王权之威,Monarch's Authority,,,,,,Authorität des Monarchen,,,,
宁菲亚,Nymphaea,自我的葬仪,Passage of the Ego,,,,,,Passage des Egos,,,,
宁菲亚,Nymphaea,毒发,Poison Eruption,,,,,,Giftausbruch,,,,
宁菲亚,Nymphaea,海洋毒素,Ocean Toxin,,,,,,Meeresgift,,,,
宁菲亚,Nymphaea,溺毒弥漫,Toxic Miasma,,,,,,Giftiges Miasma,,,,
诺缔拉,Nautila,整装待发,Ready and Set,,,,,,Fertig und los,,,,
诺缔拉,Nautila,锈蚀扳手,Rusty Wrench,,,,,,Rostiger Schraubenschlüssel,,,,
诺缔拉,Nautila,工具套组,Tool Kit,,,,,,Werkzeugsatz,,,,
诺缔拉,Nautila,命运工匠,Artisan of Fate,,,,,,Schicksalshandwerker,,,,
「24」,24,扭曲的死体狂宴,Twisted Carrion Revel,,,,,,Verdrehtes Leichenfest,,,,
「24」,24,人格污染,Soul Contamination,,,,,,Seelenverunreingung,,,,
「24」,24,狂乱撕裂,Frenzied Rend,,,,,,Wildes Zerreißen,,,,
「24」,24,污秽风暴,Corrupted Storm,,,,,,Korrupter Sturm,,,,
潘狄娅,Pandia,蜜糖色悲惨幻象,Honey-Colored Tragedy,,,,,,Honigfarbene Tragödie,,,,
潘狄娅,Pandia,无上的喜悦,Supreme Ecstasy,,,,,,Höchste Ekstase,,,,
潘狄娅,Pandia,无尽的空虚,Endless Emptiness,,,,,,Endlose Leere,,,,
潘狄娅,Pandia,享受疼痛,Embrace the Pain,,,,,,Genieße den Schmerz,,,,
艾尔瓦,Alva,无止境的正义,Endless Justice,,,,,,Endlose Gerechtigkeit,,,,
艾尔瓦,Alva,防御姿态,Defensive Stance,,,,,,Defensive Haltung,,,,
艾尔瓦,Alva,正义裁决,Judgment of Justice,,,,,,Urteil der Gerechtigkeit,,,,
艾尔瓦,Alva,战地守护,Battlefield Guardian,,,,,,Schlachtfeldwächter,,,,
艾尔瓦,Alva,心眼打击,Insight Strike,,,,,,Erkenntnisschlag,,,,
珈伦,Karen,客官请慢用！,Here's Your Meal!,,,,,,Hier ist dein Essen!,,,,
珈伦,Karen,创意甜品,Creative Desserts,,,,,,Kreative Desserts,,,,
珈伦,Karen,食材补充,Restock Ingredients,,,,,,Zutaten aufstocken,,,,
珈伦,Karen,滋补炖菜,Nourishing Stew,,,,,,Nahrhafter Eintopf,,,,
莉莉,Lily,淤泥上的不灭之花,Undying Flower Upon Slime,,,,,,Unsterbliche Blume im Schleim,,,,
莉莉,Lily,疼痛转化,Pain Conversion,,,,,,Schmerzumwandlung,,,,
莉莉,Lily,重塑疗愈,Reshape Healing,,,,,,Heilung neu gestalten,,,,
莉莉,Lily,报偿打击,Strike to Protect,,,,,,Angreifen zu schützen,,,,
莱克,Ryker,肆意豪赌,All-in!,,,,,,All-in!,,,,
莱克,Ryker,杠杆投机,Leveraged Speculation,,,,,,Hebelspekulation,,,,
莱克,Ryker,十环出牌！,"Ten Rings, Play!",,,,,,"Ten Rings, play!",,,,
莱克,Ryker,牌桌把戏,Card Tricks,,,,,,Kartentricks,,,,
莉兹,Liz,告死之舞,Dance to Destruction,,,,,,Tanz zur Zerstörung,,,,
莉兹,Liz,黎明氦闪,Helium Flash,,,,,,Helium-Blitz,,,,
莉兹,Liz,翠星坠落,Emerald Starfall,,,,,,Smaragdgrüner Sternenregen,,,,
莉兹,Liz,护身绿炎,Guardian Green Flames,,,,,,Grüne Wächterflammen,,,,
旺达,Wanda,死梦之都,Necropolis of Dreams,,,,,,Nekropolis der Träume,,,,
旺达,Wanda,迷途梦引,Lost Dream's Guide,,,,,,Wegweiser der verlorenen Träume,,,,
旺达,Wanda,活尸之墙,Wall of Corpses,,,,,,Wand der Leichen,,,,
旺达,Wanda,脊刺,Spine Needle,,,,,,Wirbelsäulennadel,,,,
达芙黛尔,Daffodil,原质之海,Sea of Primordial Essence,,,,,,Meer der Ur-Essenz,,,,
达芙黛尔,Daffodil,千面重叠,Visages Overlay,,,,,,Visagen-Overlay,,,,
达芙黛尔,Daffodil,维度追猎,Dimension Pursuit,,,,,,Dimensionsverfolgung,,,,
达芙黛尔,Daffodil,魂灵追击,Hunt for Lost Souls,,,,,,Jagd nach verlorenen Seelen,,,,
汀克特,Tinct,星彩极光,Starlight Aurora,,,,,,Sternenlicht-Aurora,,,,
汀克特,Tinct,复苏之音,Echo of Revival,,,,,,Echo der Wiederbelebung,,,,
汀克特,Tinct,哀歌,Dirge,,,,,,Klagelied,,,,
汀克特,Tinct,穿云引吭,Cloud-Piercing Cry,,,,,,Wolkendurchdringender Schrei,,,,
温柯尔,Winkle,无形迁移,Formless Shifting,,,,,,Formlose Wandlung,,,,
温柯尔,Winkle,防御射线,Defensive Beam,,,,,,Defensiver Strahl,,,,
温柯尔,Winkle,光学防护,Optical Protection,,,,,,Optischer Schutz,,,,
温柯尔,Winkle,量子催化,Quantum Catalysis,,,,,,Quantenkatalyse,,,,
奥尔拉,Horla,哀恸浓墨,Grieving Ink,,,,,,Trauertinte,,,,
奥尔拉,Horla,死亡诗篇,Death Psalm,,,,,,Todespsalm,,,,
奥尔拉,Horla,灵魂诗篇,Soul Psalm,,,,,,Seelenpsalm,,,,
奥尔拉,Horla,生命诗篇,Life Psalm,,,,,,Lebenspsalm,,,,
詹金,Jenkin,雾都街童,Mistborn Street Urchin,,,,,,Nebelgeborenes Straßenkind,,,,
詹金,Jenkin,三棱利刺,Triangular Spike,,,,,,Dreieckiger Dorn,,,,
詹金,Jenkin,街头伙伴,Street Buddy,,,,,,Straßenkumpel,,,,
詹金,Jenkin,鼠群之王,King of the Rat Swarm,,,,,,König des Rattenschwarms,,,,
詹金,Jenkin,染疫小鼠,Infected Mice,,,,,,Infizierte Mäuse,,,,
詹金,Jenkin,带电小鼠,Electric Mice,,,,,,Aufgeladene Mäuse,,,,
詹金,Jenkin,失智小鼠,Dementia Mice,,,,,,Demenzmäuse,,,,
艾瑞卡,Erica,电磁爆破,Electromagnetic Blast,,,,,,Elektromagnetische Explosion,,,,
艾瑞卡,Erica,超载电流,Overload Current,,,,,,Überlaststrom,,,,
艾瑞卡,Erica,机械壁垒,Mechanical Barrier,,,,,,Mechanische Barriere,,,,
艾瑞卡,Erica,力场防护,Force Field Protection,,,,,,Kraftfeldschutz,,,,
卡茜亚,Casiah,魔术嘉年华,Magic Carnival,,,,,,Magischer Karneval,,,,
卡茜亚,Casiah,魔术师的库藏,Magician's Treasury,,,,,,Schatzkammer des Zauberers,,,,
卡茜亚,Casiah,过手洗牌,Quickhand Shuffle,,,,,,Quickhand-Shuffle,,,,
卡茜亚,Casiah,祝福魔术币,Magic Coin of Blessing,,,,,,Magische Münze des Segens,,,,
卡茜亚,Casiah,白鸽手帕,Dove-Embroidered Kerchief,,,,,,Taschentuch mit Taubenstickerei,,,,
卡茜亚,Casiah,反向分体魔术盒,Reverse Split Magic Box,,,,,,Reverse Split Zauberbox,,,,
卡茜亚,Casiah,心灵感应话筒,Telepathy Microphone,,,,,,Telepathie-Mikrofon,,,,
卡茜亚,Casiah,兔子礼帽,Rabbit Top Hat,,,,,,Kaninchen-Zylinder,,,,
卡茜亚,Casiah,狂言魔术牌,Bluff Magic Card,,,,,,Bluff-Zauberkarte,,,,
哈姆林,Hameln,命运四重奏,Fate Quartet,,,,,,Schicksalsquartett,,,,
哈姆林,Hameln,田园和声,Pastoral Harmony,,,,,,Pastorale Harmonie,,,,
哈姆林,Hameln,惊愕强音,Stunning Tone,,,,,,Atemberaubender Ton,,,,
哈姆林,Hameln,悲怆弱音,Melancholy Tone,,,,,,Melancholischer Ton,,,,
塔薇,Tawil,万物归一,Omnifex Convergence,,,,,,Omnifex-Konvergenz,,,,
塔薇,Tawil,全一传承,Unified Legacy,,,,,,Einheitliches Erbe,,,,
塔薇,Tawil,超脱与回溯,Transcendence and Reminiscence,,,,,,Transzendenz und Erinnerung,,,,
塔薇,Tawil,隐于时隙,Hidden in the Time Rift,,,,,,Versteckt im Zeitriss,,,,
熔毁·朵尔,Doll: Inferno,终点、真理与深渊之门,"Terminal, Gateway of Truth and Abyss",,,,,,"Terminal, Tor der Wahrheit und des Abgrunds",,,,
熔毁·朵尔,"Doll: Inferno
",天才的远见,Genius' Foresight,,,,,,Weitsicht des Genies,,,,
熔毁·朵尔,Doll: Inferno,特殊制剂,Special Preparation,,,,,,Spezielle Vorbereitung,,,,
熔毁·朵尔,Doll: Inferno,人性观察实验,Humanity Observation Trial,,,,,,Menschheitsbeobachtungsversuch,,,,
熔毁·朵尔,Doll: Inferno,推算,Deduction,,,,,,Folgerung,,,,
熔毁·朵尔,Doll: Inferno,奇袭,Ambush,,,,,,Hinterhalt,,,,
熔毁·朵尔,Doll: Inferno,肾上腺素,Adrenaline,,,,,,Adrenalin,,,,
熔毁·朵尔,Doll: Inferno,伤害抗体,Damage Antibody,,,,,,Schädlicher Antikörper,,,,
熔毁·朵尔,Doll: Inferno,拯救计划,Rescue Plan,,,,,,Rettungsplan,,,,
熔毁·朵尔,Doll: Inferno,毁灭计划,Destruction Plan,,,,,,Zerstörungsplan,,,,
熔毁·朵尔,Doll: Inferno,液化虚无,Liquefied Illusion,,,,,,Verflüssigte Illusion,,,,
克莱门汀,Clementine,生命重构治疗,Lifeform Reconstruction,,,,,,Lebensformrekonstruktion,,,,
克莱门汀,Clementine,多重投射,Multiple Projections,,,,,,Mehrere Projektionen,,,,
克莱门汀,Clementine,心理绞杀,Mindstrangulation,,,,,,Verstandstrangulation,,,,
克莱门汀,Clementine,癫狂催化,Frenzied Catalysis,,,,,,Wilde Katalyse,,,,
克珀珊特,Corposant,照彻渊海的引航,To Sail the Sundered Tides,,,,,,Die getrennten Gezeiten zu besegeln,,,,
克珀珊特,Corposant,雷暴之怒,Thunderstorm's Wrath,,,,,,Zorn des Gewitters,,,,
克珀珊特,Corposant,潮汐鼓舞,Tidal Inspiration,,,,,,Gezeiteninspiration,,,,
克珀珊特,Corposant,冥海之息,Breath of the Abyss,,,,,,Atem des Abgrunds,,,,
卡斯托尔,Castor,不屈的孤嚎鸟,Dirge of the Unbroken,,,,,,Klagelied der Ungebrochenen,,,,
卡斯托尔,Castor,庇护意志,Oath of Protection,,,,,,Schutzeid,,,,
卡斯托尔,Castor,死亡飓风,Storm of the Entombed,,,,,,Sturm der Begrabenen,,,,
卡斯托尔,Castor,漆黑之雨,The Onyx Rain,,,,,,Der Onyxregen,,,,
卡斯托尔,Castor,黑羽,Onyx Plume,,,,,,Onyxfeder,,,,
杜勒赛因,Doresain,生灵的盛筵,Necrotic Gala,,,,,,Nekrotische Gala,,,,
杜勒赛因,Doresain,溟梦之帷,Veil of Murmurs,,,,,,Schleier des Gemurmels,,,,
杜勒赛因,Doresain,欢愉餍飨,Ravenous Joy,,,,,,Unersättliche Freude,,,,
杜勒赛因,Doresain,魂灵之噬,Eternal Hunger,,,,,,Ewiger Hunger,,,,
熟悉的黑猫,Familiar Black Cat,猫猫拳,Feline Strike,,,,,,Katzenangriff,,,,
,,后发制人,"Strike Last, Strike Best",,,,,,"Schlag zuletzt, schlag am besten",,,,
,,幻象,Illusion,,,,,,Illusion,,,,
,,华丽光景,Magnificent Spectacle,,,,,,Großartiges Spektakel,,,,
,,雨颂,Rain's Dirge,,,,,,Klagelied des Regens,,,,
,,风颂,Wind's Psalm,,,,,,Windespsalm,,,,
,,花颂,Floral Hymn,,,,,,Blumenhymne,,,,
,,莉雅的硬币,Leah's Coin,,,,,,Leahs Münze,,,,
,,灵感,Insight,,,,,,Einblick,,,,
,,复活,Revival,,,,,,Wiederbelebung,,,,
,,击杀,Kill,,,,,,Töten,,,,
,,蓄力,Charge,,,,,,Aufladen,,,,
,,死斗,Deathmatch,,,,,,Deathmatch,,,,
,,力量,Strength,,,,,,Stärke,,,,
,,临时力量,Temporary STR,,,,,,Temporäre STR,,,,
,,力量降低,STR▼,,,,,,STR▼,,,,
,,临时力量降低,Temporary STR▼,,,,,,Temporäre STR▼,,,,
,,沙包,Sandbag,,,,,,Sandsack,,,,
,,护盾,Shield,,,,,,Schild,,,,
,,行动封锁,Action Lock,,,,,,Aktionssperre,,,,
,,狂气,Aliemus,,,,,,Aliemus,,,,
,,失去狂气,Lose Aliemus,,,,,,Aliemus verlieren,,,,
,,强效,Amplification,,,,,,Amplifikation,,,,
,,强效降低,Amplification▼,,,,,,Amplifikation▼,,,,
,,强化,Enhance,,,,,,Verbessern,,,,
,,虚弱,Weakness,,,,,,Schwäche,,,,
,,加固,Fortress,,,,,,Festung,,,,
,,易伤,Vulnerable,,,,,,Verwundbar,,,,
,,重伤,Severe Injury,,,,,,Schwere Verletzung,,,,
,,嘲讽,Taunt,,,,,,Verspotten,,,,
,,麻痹,Paralysis,,,,,,Paralyse,,,,
,,中毒,Poison,,,,,,Gift,,,,
,,反击,Counter,,,,,,Konter,,,,
,,昏迷,Fainted,,,,,,Ohnmächtig,,,,
,,石化,Petrify,,,,,,Versteinern,,,,
,,屏障,Barrier,,,,,,Barriere,,,,
,,缠绕,Entwined,,,,,,Umschlingen,,,,
,,迟缓,Stagnation,,,,,,Stagnierung,,,,
,,空虚,Void,,,,,,Leere,,,,
,,托乎瓦波装置,Tohuwabohu Observatory,,,,,,Tohuwabohu Observatorium,,,,
,,银钥觉醒,Keyflare Rouse,,,,,,Keyflare-Erwecken,,,,
,,纯白初遇,Encounter in Pure White,,,,,,Begegnung in reinem Weiß,,,,
,,脑中之音,Voices in Your Head,,,,,,Stimmen in deinem Kopf,,,,
,,注射守护,Warded Injection,,,,,,Verabreichte Injektion,,,,
,,鼠鼠的智慧,A Mouse's Wisdom,,,,,,Die Weisheit einer Maus,,,,
,,小小心愿,Tiny Wish,,,,,,Kleiner Wunsch,,,,
,,永世执念,Obsession Eternal,,,,,,Ewige Besessenheit,,,,
,,不平等交换,Unequal Exchange,,,,,,Ungleicher Austausch,,,,
,,不朽的葬仪,Funus Aeternum,,,,,,Funus Aeternum,,,,
,,最后的誓言,The Final Vow,,,,,,Der letzte Schwur,,,,
,,奥瑞塔的宝藏,Aurita's Treasure,,,,,,Auritas Schatz,,,,
,,咆哮的血与沙,Roaring Blood and Sand,,,,,,Brüllendes Blut und Sand,,,,
,,短暂的永恒,Ephemeral Eternity,,,,,,Vergängliche Unendlichkeit,,,,
,,腐烂盛筵,Feast of Decay,,,,,,Festmahl des Verfalls,,,,
,,蚀骨的拥抱,Bone-Chilling Embrace,,,,,,Knochenerschütternde Umarmung,,,,
,,湖畔回眸,Lakeside Glimpse,,,,,,Blick auf den See,,,,
,,跨越回溯之扉,Gateway of Retrospection,,,,,,Tor des Rückblicks,,,,
,,灰雾真容,Truth Behind Grey Mist,,,,,,Wahrheit hinter dem grauen Nebel,,,,
,,未至遗忘的黎明,Unforgotten Twilight,,,,,,Unvergessene Dämmerung,,,,
,,尘封旧忆,Sealed Old Memories,,,,,,Versiegelte alte Erinnerungen,,,,
,,仲夏之梦,Midsummer Vision,,,,,,Mittsommervision,,,,
,,玫瑰的胜利,Victory of Roses,,,,,,Sieg der Rosen,,,,
,,神迹降临,Miracle's Dawn,,,,,,Wunderdämmerung,,,,
,,巨人的霸道,Giant's Reign,,,,,,Herrschaft des Riesen,,,,
,,全部的她,All of Her,,,,,,Alles von ihr,,,,
,,唯一的种子,The Lone Seed,,,,,,Der einsame Samen,,,,
,,海之祭,Festival of Tides,,,,,,Festival der Gezeiten,,,,
,,春天的献诗,Spring's Verse,,,,,,Frühlingsvers,,,,
,,月颂,Moon's Anthem,,,,,,Mondhymne,,,,
,,一声枪响,A Gun's Cry,,,,,,Der Aufschrei einer Waffe,,,,
,,第四乐章,Symphony Fourth,,,,,,Vierte Symphonie,,,,
,,群山的觉悟,The Mountains' Resolve,,,,,,Die Entschlossenheit der Berge,,,,
,,门扉的答案,The Gated Answer,,,,,,Die verschlossene Antwort,,,,
,,群星的庇佑,Blessing of the Stars,,,,,,Segen der Sterne,,,,
,,虚无瘟疫,Plague of Illusions,,,,,,Illusionsplage,,,,
,,特殊治疗,Sacred Mending,,,,,,Heilige Ausbesserung,,,,
,,不灭的雷光,Undying Thunder,,,,,,Unsterblicher Donner,,,,
,,错位命运,Derision of Destiny,,,,,,Spott über das Schicksal,,,,
,,残忍的致意,Cruel Homage,,,,,,Grausame Homage,,,,
,,猎食决心,Voracious Resolve,,,,,,Unersättliche Entschlossenheit,,,,
,,一扫而光！,Gobble Up!,,,,,,Friss auf!,,,,
,,沉眠,Slumber,,,,,,Schlummern,,,,
,,苏醒,Arouse,,,,,,Erregen,,,,
,,黑天鹅的舞步,Black Swan's Dance,,,,,,Tanz des schwarzen Schwans,,,,
,,逆转回合,My Turn,,,,,,Ich bin dran,,,,
,,重击,Heavy Blow,,,,,,Schwerer Schlag,,,,
,,出血,Bleed,,,,,,Bluten,,,,
,,猩红熔炉,Crimson Furnace,,,,,,Blutroter Ofen,,,,
,,湮灭,Annihilation,,,,,,Vernichtung,,,,
,,复仇宣言,Vengeance Upon Thee,,,,,,Rache an dir,,,,
,,战欲难平,Battle Thirst,,,,,,Kampfeslust,,,,
,,桀骜之刃,Blade of Defiance,,,,,,Klinge des Trotzes,,,,
,,恣睢之浪,Tides of Hubris,,,,,,Gezeiten der Hybris,,,,
,,黑泥冲蚀,Corrosive Sludge,,,,,,Ätzender Schlamm,,,,
,,展翼,Wings Unfurled,,,,,,Flügel ausgebreitet,,,,
,,双翼初张,Twin Wings,,,,,,Zwillingsflügel,,,,
,,四翼渐生,Four Wings,,,,,,Vier Flügel,,,,
,,六翼满开,Six Wings,,,,,,Sechs Flügel,,,,
,,执念,Obsession,,,,,,Besessenheit,,,,
,,亵渎假象,Desecrate Illusion,,,,,,Illusion schänden,,,,
,,裂伤,Laceration,,,,,,Risswunde,,,,
,,幻觉,Phantasm,,,,,,Trugbild,,,,
,,蜡像馆钥匙,Wax Museum's Key,,,,,,Schlüssel des Wachsfigurenkabinetts,,,,
詹金,Jenkin,逃跑,Escape,,,,,,Flucht,,,,
,,高级灵感,Adv. Insight,,,,,,Fortg. Einblick,,,,
,,伤口,Wound,,,,,,Wunde,,,,
,,惊厥,Convulsion,,,,,,Konvulsion,,,,
